Site ID,Facility Type,Facility Subtype,Facility ID,Oval Track Lanes,Oval Track Length,Sprint Straight Length,Straight Track Lanes,Track Lanes,Track Length,Artificial Sports Lighting,Discuss Throw Facility,Hammer Throw Facility,High Jump Facility,Indoor Throw Net for Javelin,Indoor Throws Training - Cage,Infield Surface Type,Javelin Throw Facility,Long Jump Facility,Pole Vault Facility,Shot Put Facility,Steeplechase Water Jump,Track Surface Type,Triple Jump Facility,SpectatorAccom: Capacity Estimate,SpectatorAccom: Checked,SpectatorAccom: Shared Flag,SpectatorAccom: Designated Accessible,SpectatorAccom: Designated Accessible Covered,SpectatorAccom: Designated Accessible Uncovered,SpectatorAccom: Seating,SpectatorAccom: Seating Covered,SpectatorAccom: Seating Uncovered,SpectatorAccom: Standing,SpectatorAccom: Standing Covered,SpectatorAccom: Standing Uncovered,SpectatorAccom: Total Capacity,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1002425,1,1004,2009264,7,0.0,0,0,,,1,0,0,0,,,11,0,0,0,0,0,18,0,0,0,0,,0,0,,0,0,,0,0,0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1984,0,1,2006,1,0,,3,1,1,12,2014-11-01,999,2015-03-11 00:00:00,0,537660,190186,51.59372,-0.01404314,
1002141,1,1004,2009256,8,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,1,1,0,,1,0,,17000,0,,0,0,17001,3,,,,,Registered Membership use,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1964,0,1,2023,1,0,,2,1,1,12,,,2024-11-15 15:37:31,1,534454,170658,51.419,-0.06774256,
1002316,1,1004,2009259,8,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,1,0,,1,0,,390,0,,0,0,391,3,,Places Leisure,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,"Parking: Dedicated bays, Reception Area: Ramp, Changing Facilities: Individual disabled shower",1990,0,1,2007,1,0,,2,1,1,12,,,2024-11-08 08:51:55,1,519484,168755,51.40525,-0.2835553,
1002343,1,1004,2009260,8,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,1,1,0,,1,0,,439,0,,0,0,440,3,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,0,1,1,0,Parking: 4 Disabled parking bays.,1990,0,0,,1,1,2005,2,1,1,12,,,2024-11-15 16:42:21,1,536641,181893,51.51944,-0.03196947,
1002350,1,1004,2009261,8,400.0,110,8,,,1,0,0,0,,,18,0,0,0,0,1,18,0,0,1,0,,1,0,,1000,0,,0,0,1001,3,,Fusion Lifestyle,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,0,1,1,0,,1971,0,1,2015,1,0,,2,1,1,12,,,2025-08-14 12:29:26,1,531640,191299,51.60515,-0.1004882,
1002353,1,1004,2009262,8,400.0,110,8,,,1,0,0,0,,,11,0,1,0,0,1,18,1,1,1,0,,1,0,,100,0,,0,0,101,3,,GLL,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,0,1,1,0,,1994,0,1,2008,1,1,2017,2,1,1,12,,,2025-04-16 09:17:48,1,541373,181939,51.51869,0.03620545,
1002361,1,1004,2009263,6,400.0,110,6,,,1,0,0,1,,,18,0,1,0,1,0,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,,Everyone Active,,,Registered Membership use,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1970,0,1,2021,1,1,2008,2,1,1,12,,,2025-05-07 14:13:34,1,525553,182802,51.53018,-0.1913693,
1002452,1,1004,2009265,8,400.0,110,8,,,1,0,0,1,,,18,0,1,1,1,1,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,"Pls note From Feb 2022 ne site set up with Address of Bingham Arena, Mercia Court, chapel Lane, Bingham, Nottingham, NG13 8QX so the facilities are spilt between the two different buildings and areas. ",,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,0,0,1,0,,1969,0,1,2019,1,1,2019,2,1,1,12,,,2024-11-27 11:36:31,1,470581,339494,52.94822,-0.9509996,
30005681,1,1004,2009267,6,0.0,0,0,,,1,0,0,0,,,11,0,0,0,0,0,19,0,0,0,0,,0,0,,0,0,,0,0,0,5,,,,,Private Use,Private,School/College/University (in house),Education,1,1,1,1,1,0,1,1,1,1,2,,1970,0,0,,1,1,2006,2,1,1,12,2016-07-31,101,2023-06-29 14:37:37,0,481580,352399,53.06264,-0.784073,
1002473,1,1004,2009268,8,400.0,110,9,,,1,1,1,1,,,11,1,1,1,1,1,18,1,1,1,0,,1,0,,720,0,,0,0,721,3,,Nottingham City Council,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,1,1,Parking: 12 bays,1965,0,1,2004,1,0,,2,1,1,12,,,2025-03-17 10:28:50,1,452552,341399,52.9674,-1.218983,
30009815,1,1004,2009269,8,400.0,110,10,,,1,1,1,1,,,11,1,1,0,1,1,18,1,0,1,0,,1,0,,1016,0,,0,0,1017,3,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1998,0,1,2009,1,0,,2,1,1,12,,,2025-02-21 16:13:26,1,356867,405707,53.54623,-2.652418,
1002845,1,1004,2009271,8,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,1,1,0,,1,0,,200,0,,0,0,201,3,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,1,1,0,Parking: 8 designated disabled parking bays available,1987,0,1,2005,1,1,2025,2,1,1,12,,,2025-10-07 16:04:35,1,522532,181518,51.51931,-0.2353367,
1002851,1,1004,2009272,8,400.0,112,8,,,1,1,1,1,,,11,1,0,0,0,0,18,0,0,0,0,,0,0,,0,0,,0,0,0,3,,Everyone Active,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,"Parking: Designated bays for orange badge holders, Reception Area: Ramp, Doorways: Automatic doors at reception., Activity Areas: Lift access to all floors.",2003,0,1,2006,1,0,,2,1,1,12,,,2025-07-15 18:21:56,1,526664,166611,51.38443,-0.181153,
1002925,1,1004,2009273,6,400.0,110,7,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,,GLL,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1959,0,1,2004,1,0,,2,1,1,12,,,2025-04-16 10:50:47,1,523342,211738,51.79071,-0.2130262,
1002999,1,1004,2009274,6,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,,Bolton Middlebrook Leisure Trust,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,1,,2001,0,0,,1,1,2024,2,1,1,12,,,2025-12-29 10:41:58,1,364416,409316,53.57924,-2.53891,
1003192,1,1004,2009275,8,400.0,110,10,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,,Freedom Leisure,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,IFI accredited.,1993,0,1,2006,1,0,,2,1,1,12,,,2025-07-04 16:07:43,1,500389,150988,51.24923,-0.5629895,
1003280,1,1004,2009276,8,400.0,110,10,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,1,0,,1,0,,150,0,,0,0,151,3,,1Life,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,1,,2003,0,0,,1,1,2006,2,1,1,12,,,2025-11-13 09:21:02,1,529705,343937,52.97712,-0.06970792,
1003543,1,1004,2009277,6,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,,,,,Registered Membership use,Public Access,Trust,Trust,1,1,1,1,1,1,1,0,1,1,0,,2000,0,1,2009,1,1,2007,2,1,1,12,,,2025-09-09 11:15:57,1,542125,109675,50.86911,0.01845673,
1003558,1,1004,2009278,6,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,1,1,0,,1996,0,1,2018,1,1,2004,2,1,1,12,,,2025-07-17 14:33:21,1,580822,111654,50.87609,0.5688473,
30010179,1,1004,2009280,8,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,1,0,,0,0,,564,0,,0,0,564,3,7 Changing rooms on site.,Everyone Active,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,1974,0,1,2013,1,1,2022,2,1,1,12,,,2024-12-19 10:35:12,1,436568,332720,52.89072,-1.457922,
1003596,1,1004,2009281,8,0.0,0,0,,,1,0,0,0,,,11,0,0,0,0,0,18,0,0,0,0,,0,0,,0,0,,0,0,0,5,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,0,0,0,0,0,0,0,0,0,0,2,,1993,0,1,2004,1,0,,3,1,1,12,2009-08-17,999,2024-02-23 10:08:09,0,423299,323828,52.81152,-1.655764,
1003714,1,1004,2009282,8,400.0,110,8,,,1,1,1,1,,,11,1,1,1,1,1,18,1,0,0,0,,0,0,,0,0,,0,0,0,3,,Freedom Leisure,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,Lift.,1992,0,1,2008,1,1,2013,2,1,1,12,,,2025-09-08 15:07:20,1,574907,223786,51.8852,0.540036,
