Site ID,Facility Type,Facility Subtype,Facility ID,Automatic Start Gate,Bike Wash,Timing System,Start Gate,No of Persons Start Gate,Number of Straights,Number of Turns,Surface,Artificial Sports Lighting,Start Hill Elevation,Start Hill Width,Start Straight Length,Start Straight Width,Length of Straights,Degree of Banking at Middle of Bends,Degree of Banking at Middle of Straight,Overall Width,Total Length,Width of Turns/Bends,Radius of Turns/Bends,Finish Straight Length,Finish Straight Width,Black Trails,Length of Black Trails,Length of Blue Trails,Extreme Trails,Length of Extreme Trails,Length of Green Trails,Red Trails,Length of Red Trails,Length of All Trails,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1045062,20,20005,30009226,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,3.0,1,3.0,6.0,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,1,0,,2015,1,0,,0,0,,1,1,1,12,,,2026-01-06 14:02:10,1,547461,191810,51.60583,0.1280273,2017-02-14 12:38:10
1002925,20,20002,30009227,,,0,,,,,3,1,,,,,84.0,10.0,1.0,8.0,459.0,,40.0,,,,,,,,,,,,3,,GLL,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1960,0,0,,1,1,2008,2,1,1,12,,,2025-04-16 10:50:47,1,523342,211738,51.79071,-0.2130262,2017-02-14 12:46:54
6003892,20,20004,30009230,0,,,0,,,,17,0,,,,,,,,6.0,100.0,,,,,,,,,,,,,,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,0,0,0,0,0,0,0,0,0,0,0,,2005,0,1,2023,0,0,,1,1,1,12,,,2025-12-04 08:39:54,1,435946,547855,54.82427,-1.442053,2017-02-14 12:56:48
1005039,20,20004,30009234,0,,,1,,,,3,0,,,,,,,,3.0,100.0,,,,,,,,,,,,,,5,Track length = 250m. ,,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,0,1,1,0,2 disabled bays,2008,1,0,,1,0,,2,1,1,12,2024-08-24,201,2025-04-01 10:23:32,1,419444,535146,54.71096,-1.699743,2017-02-14 16:00:16
1059387,20,20007,30009242,,,0,,,,,3,1,,,,,,,,6.0,1000.0,,20.0,100.0,7.75,,,,,,,,,,3,,Everyone Active,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,1,,2010,1,0,,1,0,,2,1,1,12,,,2024-09-12 06:41:53,1,451173,516845,54.5443,-1.210502,2017-02-14 16:18:29
1044800,20,20003,30009243,0,,,1,8,4,5,9,0,10.0,8.0,38.0,7.0,,,,5.0,380.0,8.0,,45.0,7.0,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,0,1,1,1,0,1,0,0,1,0,,2005,0,0,,1,0,,1,1,1,12,,,2025-06-30 12:02:07,1,448924,531608,54.67718,-1.242814,2017-02-14 16:19:23
1042061,20,20003,30009256,1,,,1,7,4,3,17,1,3.0,10.0,62.0,10.0,,,,6.0,400.0,5.5,,60.0,7.0,,,,,,,,,,3,,,,,Registered Membership use,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,1,,2012,0,1,2017,1,0,,2,1,1,12,,,2024-08-15 12:01:04,1,345153,391285,53.41553,-2.826649,2017-02-15 09:06:53
1042061,20,20002,30009257,,,0,,,,,3,1,,,,,82.0,10.0,1.0,9.0,400.0,,20.0,,,,,,,,,,,,3,,,,,Registered Membership use,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,1,,2012,1,0,,1,0,,2,1,1,12,,,2024-08-15 12:01:04,1,345153,391285,53.41553,-2.826649,2017-02-15 09:06:54
1038832,20,20003,30009263,0,,,1,8,4,3,3,1,1.5,8.3,50.0,8.0,,,,6.0,400.0,7.0,,56.0,6.0,,,,,,,,,,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,1,1,1,1,1,0,0,0,1,0,,2013,0,0,,1,0,,1,1,1,12,,,2025-05-12 15:03:46,1,355212,428929,53.7548,-2.680743,2017-02-15 10:14:17
1208096,20,20003,30009264,0,,,1,8,4,3,17,1,10.0,8.0,56.0,6.0,,,,6.0,314.0,5.0,,51.0,7.0,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,0,0,1,1,0,0,0,0,0,Uneven surfaces,1988,0,1,2013,1,1,2013,1,1,1,12,,,2025-01-27 08:52:17,1,355360,413005,53.6117,-2.676204,2017-02-15 10:38:27
30010497,20,20003,30009267,0,,,1,8,4,3,17,0,5.0,9.0,68.0,7.0,,,,6.0,380.0,6.0,,70.0,6.0,,,,,,,,,,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,0,0,0,1,0,,2011,0,0,,1,0,,1,1,1,12,,,2025-08-28 10:47:36,1,332666,435673,53.81298,-3.024103,2017-02-15 10:52:22
6010305,20,20003,30009268,0,,,1,8,4,3,3,0,5.0,9.0,60.0,8.0,,,,5.5,300.0,6.0,,60.0,6.0,,,,,,,,,,3,,,2014-04-05,,Free Public Access,Public Access,Local Authority (in house),Local Authority,1,0,0,0,0,0,0,0,0,1,0,,2014,0,0,,0,0,,1,1,1,12,,,2025-08-13 09:49:44,1,386015,387039,53.38004,-2.211694,2017-02-15 11:00:57
1004623,20,20007,30009274,,,0,,,,,3,1,,,,,,,,6.0,1600.0,,20.0,70.0,6.0,,,,,,,,,,3,,Blackpool Council,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,1,1,0,,2010,1,0,,1,0,,2,1,1,12,,,2025-07-11 10:29:48,1,331433,433687,53.79497,-3.042384,2017-02-15 11:17:43
1004634,20,20007,30009280,,,0,,,,,3,0,,,,,,,,5.0,1300.0,,20.0,100.0,5.0,,,,,,,,,,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,1,0,,2008,0,0,,1,0,,2,1,1,12,,,2024-12-12 08:32:56,1,346214,462485,54.05551,-2.823106,2017-02-15 11:27:56
1018680,20,20007,30009282,,,0,,,,,3,0,,,,,,,,4.5,1000.0,,20.0,100.0,4.3,,,,,,,,,,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,0,1,0,,2007,0,0,,1,0,,1,1,1,12,,,2024-08-14 08:54:47,1,334717,398422,53.47847,-2.985131,2017-02-15 11:35:24
1208421,20,20007,30009283,,,1,,,,,3,1,,,,,,,,6.0,1200.0,,20.0,100.0,6.0,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,0,1,0,,2014,0,0,,1,0,,1,1,1,12,,,2026-01-08 10:58:43,1,386430,439243,53.84926,-2.207748,2017-02-15 11:47:27
6007767,20,20007,30009285,,,0,,,,,3,0,,,,,,,,4.5,1000.0,,20.0,90.0,4.0,,,,,,,,,,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,0,0,0,1,0,0,0,0,0,0,,2001,0,0,,0,0,,1,1,1,12,,,2025-09-24 14:00:36,1,392689,399728,53.49423,-2.111665,2017-02-15 12:02:54
1002545,20,20006,30009286,,,,,,,,12,0,,,,,,1.0,1.0,7.0,90.0,,,,,,,,,,,,,,3,Home of Bury Comets Cycle Speedway Club.,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1993,0,0,,1,0,,1,1,1,12,,,2025-04-25 11:50:58,1,381046,408776,53.57526,-2.287709,2017-02-15 12:07:13
1206158,20,20003,30009288,0,,,1,8,4,3,17,0,5.0,8.0,51.0,8.0,,,,5.0,378.0,4.0,,38.0,6.0,,,,,,,,,,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,1,0,,2017,1,0,,1,0,,1,1,1,12,,,2025-10-14 10:05:41,1,414440,92854,50.73512,-1.79673,2017-02-15 12:54:13
6001147,20,20007,30009291,,,0,,,,,3,0,,,,,,,,6.0,300.0,,12.0,50.0,6.0,,,,,,,,,,3,,Greenwich Leisure Limited,,,Pay and Play,Public Access,Other,Others,0,0,0,0,0,1,1,0,0,1,0,,2013,0,1,2015,1,1,2015,1,1,1,12,,,2025-03-10 16:46:04,1,373818,162623,51.36206,-2.377434,2017-02-15 14:11:25
1005976,20,20003,30009292,0,,,1,8,4,3,17,0,5.0,8.0,29.0,8.0,,,,5.0,220.0,4.0,,26.0,6.0,,,,,,,,,,3,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,4 Disabled Bays,2012,0,0,,1,0,,2,1,1,12,,,2026-01-08 15:55:59,1,442038,120252,50.98015,-1.40253,2017-02-15 14:24:36
1004799,20,20006,30009293,,,,,,,,12,0,,,,,,1.0,1.0,5.5,90.0,,,,,,,,,,,,,,3,Outdoor gym equipment has been installed on track infield.,Active Nation,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,0,1,0,,2006,0,1,2012,0,0,,1,1,1,12,,,2025-12-03 16:34:07,1,360233,178820,51.5069,-2.574361,2017-02-15 14:54:17
1005444,20,20006,30009294,,,,,,,,12,0,,,,,,1.0,1.0,5.5,87.0,,,,,,,,,,,,,,5,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1977,0,0,,0,0,,1,1,1,12,2020-12-03,201,2020-12-04 03:53:55,1,414594,185428,51.56754,-1.790828,2017-02-15 15:20:52
1045094,20,20005,30009295,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,11.0,0,0.0,11.0,3,,,,,Free Public Access,Public Access,Other,Others,0,0,0,0,0,0,0,0,0,0,0,,1999,1,0,,0,0,,1,1,1,12,,,2026-01-05 09:38:07,1,390940,89983,50.7094,-2.129671,2017-02-15 15:49:54
6004292,20,20004,30009298,0,,,1,,,,17,0,,,,,,,,6.0,100.0,,,,,,,,,,,,,,5,Length 300m and width 10m,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,1,0,0,1,1,0,0,1,1,0,0,,1983,0,1,2013,1,0,,1,1,1,12,2022-06-10,103,2025-06-30 14:11:08,1,573876,109001,50.85439,0.4689595,2017-02-15 16:19:40
30010935,20,20003,30009299,0,,,1,8,4,4,9,1,10.0,10.0,70.0,10.0,,,,6.0,400.0,5.0,,60.0,6.0,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,0,1,1,1,1,0,,2013,0,0,,0,0,,2,1,1,12,,,2025-10-21 10:49:04,1,532524,177566,51.48154,-0.09289137,2017-02-15 16:42:28
1202425,20,20003,30009301,0,,,1,5,4,3,9,0,1.5,8.0,53.0,6.0,,,,6.0,350.0,6.0,,51.0,6.0,,,,,,,,,,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,1,0,1,1,1,0,0,0,0,0,0,,1990,0,1,2013,1,0,,1,1,1,12,,,2025-04-29 12:12:16,1,531976,174272,51.45206,-0.1020056,2017-02-15 16:55:04
1045198,20,20005,30009303,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0,0.0,0.0,1,13.0,13.0,3,There is a 9km family cycle trail using shared-use forest road and 13km of single-track mountain biking. ,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,1,1,0,1,1,1,0,0,0,1,0,,2006,0,1,2012,0,0,,1,1,1,12,,,2025-08-13 14:21:42,1,572297,133665,51.07644,0.4582181,2017-02-16 09:20:40
1044513,20,20003,30009307,1,,,1,8,4,3,17,0,1.5,8.0,65.0,11.0,,,,6.0,350.0,6.0,,62.0,6.0,,,,,,,,,,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,1,0,0,1,1,0,0,0,0,0,0,,2011,0,0,,0,0,,1,1,1,12,,,2025-05-13 11:59:11,1,289308,61328,50.44131,-3.560205,2017-02-16 10:07:50
6004007,20,20004,30009310,0,,,0,,,,16,0,,,,,,,,3.0,100.0,,,,,,,,,,,,,,3,,,,,Free Public Access,Public Access,Sport Club,Others,1,1,0,0,0,0,0,0,0,1,0,,2011,0,0,,0,0,,1,1,1,12,,,2025-11-06 12:18:34,1,532535,190306,51.59603,-0.08793675,2017-02-16 10:20:13
6001637,20,20004,30009312,0,,,1,,,,3,0,,,,,,,,4.0,100.0,,,,,,,,,,,,,,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,0,0,0,0,0,0,0,0,0,0,0,,2011,0,0,,0,0,,1,1,1,12,,,2025-02-10 16:09:51,1,542037,177152,51.47551,0.0438551,2017-02-16 11:38:32
6002049,20,20004,30009313,0,,,1,,,,9,0,,,,,,,,2.0,100.0,,,,,,,,,,,,,,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,1,0,0,0,0,0,0,0,0,0,0,,2007,0,0,,0,0,,1,1,1,12,,,2025-03-05 15:23:59,1,368764,308376,52.6722,-2.463365,2017-02-16 11:40:57
6007667,20,20003,30009316,1,,,1,8,4,3,17,1,10.0,8.0,65.0,9.0,,,,6.0,350.0,7.0,,58.0,6.0,,,,,,,,,,3,"A BMX Track, a pump track and skate park",,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,0,0,0,1,0,,2010,0,0,,1,0,,2,1,1,12,,,2025-07-29 11:21:12,1,406637,266069,52.29273,-1.904089,2017-02-16 12:12:14
1045586,20,20007,30009317,,,0,,,,,3,0,,,,,,,,6.0,1400.0,,16.0,100.0,6.0,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,2010,1,0,,1,0,,1,1,1,12,,,2025-04-08 13:33:14,1,381279,272689,52.35196,-2.27627,2017-02-16 12:24:41
1014554,20,20007,30009318,,,0,,,,,3,1,,,,,,,,7.5,1000.0,,16.0,70.0,7.0,,,,,,,,,,3,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,Hoists & Lifts,2000,0,1,2023,1,0,,2,1,1,12,,,2025-04-15 09:28:04,1,351531,314666,52.72747,-2.719136,2017-02-16 12:33:41
6009088,20,20006,30009320,,,,,,,,12,0,,,,,,1.0,1.0,5.0,92.0,,,,,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,0,0,0,0,0,0,1,1,0,0,,1961,1,0,,0,0,,1,1,1,12,,,2025-10-09 09:48:04,1,405899,291704,52.5232,-1.914482,2017-02-16 12:41:25
1004191,20,20003,30009321,0,,,1,8,4,3,17,1,6.0,9.0,60.7,7.2,,,,6.0,400.0,6.0,,55.0,6.0,,,,,,,,,,5,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,2000,1,0,,0,0,,1,1,1,12,2019-07-01,101,2025-05-20 09:41:37,1,389062,302240,52.61783,-2.162987,2017-02-16 12:48:37
1004191,20,20004,30009322,0,,,0,,,,17,0,,,,,,,,3.5,100.0,,,,,,,,,,,,,,5,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,2000,1,0,,1,0,,1,1,1,12,2019-07-01,101,2025-05-20 09:41:37,1,389062,302240,52.61783,-2.162987,2017-02-16 12:48:37
1103800,20,20006,30009325,,,,,,,,12,1,,,,,,1.0,1.0,5.6,80.0,,,,,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,0,0,0,1,0,0,0,0,0,,1960,0,1,2007,0,0,,1,1,1,12,,,2025-09-01 09:26:10,1,393401,297995,52.57975,-2.098809,2017-02-16 14:07:53
1004192,20,20002,30009326,,,0,,,,,3,1,,,,,100.0,45.0,12.0,7.0,458.0,,20.0,,,,,,,,,,,,3,Width 5,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,1,0,,2003,0,2,,1,0,,2,1,1,12,,,2026-01-07 15:51:49,1,389897,300865,52.60549,-2.150603,2017-02-16 14:56:35
1038252,20,20004,30009327,0,,,0,,,,17,0,,,,,,,,6.0,100.0,,,,,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,1,1,0,,2011,0,0,,1,0,,1,1,1,12,,,2025-08-04 13:06:55,1,457144,400563,53.49869,-1.140036,2017-02-16 15:09:24
1041596,20,20002,30009330,,,0,,,,,3,1,,,,,100.0,45.0,12.0,7.0,400.0,,40.0,,,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,1,1,1,1,1,0,,1976,0,1,2004,1,0,,2,1,1,12,,,2025-05-16 13:23:14,1,385723,344519,52.99783,-2.214159,2017-02-16 15:13:50
6003659,20,20004,30009331,0,,,0,,,,17,0,,,,,,,,4.8,100.0,,,,,,,,,,,,,,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,0,0,0,0,0,0,0,0,0,0,0,,1990,0,1,2013,0,0,,1,1,1,12,,,2025-06-30 11:13:49,1,432763,388290,53.39045,-1.508826,2017-02-16 15:16:06
1004384,20,20004,30009332,0,,,1,,,,17,0,,,,,,,,6.0,100.0,,,,,,,,,,,,,,3,,,,,Free Public Access,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,2007,1,0,,0,0,,1,1,1,12,,,2025-09-08 13:25:03,1,433770,435547,53.81513,-1.488586,2017-02-16 15:27:44
1041458,20,20007,30009333,,,0,,,,,3,0,,,,,,,,8.0,750.0,,18.0,100.0,8.0,,,,,,,,,,3,4 changing rooms,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,1,0,1,0,"All but 2 indoor spaces have disable access, 3 disabled parking spaces in the rear and 5 at the front of school. One disabled access toilet located next to the sports hall inside.",2014,0,0,,0,0,,2,1,1,12,,,2025-02-05 11:17:27,1,409728,420371,53.67973,-1.854202,2017-02-16 15:56:00
6002586,20,20003,30009334,0,,,1,8,4,3,17,1,8.0,9.0,53.0,8.0,,,,6.0,300.0,7.2,,49.0,6.0,,,,,,,,,,3,,,,,Free Public Access,Public Access,Sport Club,Others,1,0,0,0,0,0,0,0,1,0,0,,1990,0,1,2013,0,0,,1,1,1,12,,,2025-08-14 09:19:02,1,416782,434603,53.80748,-1.746643,2017-02-16 15:57:13
1004423,20,20007,30009336,,,0,,,,,3,1,,,,,,,,4.0,800.0,,20.0,80.0,4.0,,,,,,,,,,5,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,1,2,,2006,0,0,,1,0,,2,1,1,12,2019-11-15,103,2019-11-18 11:12:24,1,415967,430084,53.76688,-1.759255,2017-02-16 15:58:12
30002753,20,20006,30009337,,,,,,,,12,0,,,,,,1.0,1.0,7.0,92.0,,,,,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,0,0,0,0,0,0,0,0,0,0,,2005,0,0,,1,0,,1,1,1,12,,,2024-11-11 12:10:56,1,434084,391252,53.417,-1.488645,2017-02-16 16:06:37
1202955,20,20006,30009339,,,,,,,,12,1,,,,,,8.0,1.0,5.5,84.0,,,,,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,0,1,1,1,0,,2000,1,0,,1,0,,1,1,1,12,,,2025-03-05 11:34:04,1,503084,425617,53.71682,-0.4394281,2017-02-16 16:18:15
1004749,20,20006,30009341,,,,,,,,12,1,,,,,,1.0,1.0,5.0,70.0,,,,,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,2011,0,0,,1,1,2014,2,1,1,12,,,2025-10-31 11:11:37,1,435662,381397,53.32831,-1.466011,2017-02-16 16:31:06
1041509,20,20005,30009343,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,2.0,0,0.0,0.0,0,0.0,2.0,3,,,,,Free Public Access,Public Access,Local Authority (in house),Local Authority,0,0,0,0,0,0,0,0,0,0,0,,2012,0,0,,0,0,,1,1,1,12,,,2025-06-30 12:58:30,1,435233,389477,53.40097,-1.471555,2017-02-16 16:57:37
6002353,20,20003,30009351,0,,,1,8,4,3,17,0,2.0,8.0,40.0,8.0,,,,4.0,240.0,5.0,,30.0,6.5,,,,,,,,,,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,0,0,0,0,0,0,0,0,0,2,,2008,0,0,,0,0,,1,1,1,12,,,2025-08-12 12:11:54,1,336908,427487,53.73994,-2.958006,2017-02-17 13:45:44
30005011,20,20006,30009352,,,,,,,,12,1,,,,,,1.0,1.0,5.8,81.0,,,,,,,,,,,,,,3,"Dimensions of the track:
81 m long 5.8 m wide banking 1 in 12 (bends) 1 in 25 (straights)
",Exeter Aces CSC,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,0,0,1,0,0,0,0,1,0,,1980,0,1,2018,1,0,,2,2,3,10,,,2025-05-20 09:45:14,1,292993,90022,50.69996,-3.516581,2017-02-17 15:25:08
30005043,20,20002,30009415,,,0,,,,,3,1,,,,,100.0,45.0,12.0,7.0,402.0,,20.0,,,,,,,,,,,,3,,,,,Registered Membership use,Public Access,Sport Club,Others,0,0,0,0,0,1,0,0,0,1,0,,1949,0,1,2004,1,0,,2,1,1,12,,,2025-06-04 10:52:43,1,397451,282932,52.44436,-2.038922,2017-02-20 16:34:18
30005077,20,20005,30009474,,1,,,,,,,,,,,,,,,,,,,,,0,0.0,28.0,0,0.0,8.0,1,16.0,52.0,3,There are 8 mountain bikes pits along the red graded trail.,,,,Free Public Access,Public Access,Trust,Trust,0,0,0,0,0,1,0,0,0,1,0,,2010,1,0,,0,0,,1,1,1,12,,,2025-11-13 11:44:09,1,581138,285167,52.43448,0.6631993,2017-02-21 15:09:33
1003924,20,20001,30009657,,,0,,,,,13,,,,,,50.0,45.0,12.0,5.0,150.0,,20.0,,,,,,,,,,,,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,0,1,0,,1960,0,1,1997,1,1,2014,2,1,1,12,,,2025-01-15 15:13:29,1,448832,102395,50.81905,-1.308152,2017-02-23 10:08:22
1040934,20,20006,30009696,,,,,,,,12,1,,,,,,7.0,3.0,6.0,90.0,,,,,,,,,,,,,,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,0,1,1,1,0,0,1,1,1,0,,2000,1,1,2016,1,0,,1,1,1,12,,,2024-11-19 11:23:36,1,368791,401150,53.50612,-2.472017,2017-02-23 14:01:54
30005224,20,20005,30009718,,0,,,,,,,,,,,,,,,,,,,,,0,0.0,8.85,0,0.0,4.4,1,2.4,15.65,3,,,,,Pay and Play,Public Access,Trust,Trust,0,0,0,1,1,0,1,0,0,1,0,,2011,1,0,,0,0,,1,1,1,12,,,2024-12-04 13:02:21,1,432900,315534,52.73647,-1.514165,2017-02-23 14:59:17
30005231,20,20005,30009729,,1,,,,,,,,,,,,,,,,,,,,,0,0.0,10.0,0,0.0,1.0,1,13.0,24.0,3,24000 - Is the correct length of track.,,,,Pay and Play,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,1999,1,0,,1,0,,2,1,1,12,,,2025-11-05 11:22:14,1,487669,166097,51.38716,-0.7414839,2017-02-23 15:53:54
1203675,20,20004,30009742,0,,,0,,,,17,0,,,,,,,,6.0,60.0,,,,,,,,,,,,,,4,,,,,Sports Club / Community Association,Public Access,School/College/University (in house),Education,1,1,1,1,1,1,1,0,0,1,0,,2017,0,0,,1,0,,2,1,1,12,,,2025-08-31 19:26:03,1,499207,207052,51.75339,-0.5641684,2017-02-23 16:45:28
30005245,20,20003,30009746,1,,,1,8,4,6,9,0,5.0,8.0,40.0,9.0,,,,4.6,360.0,5.0,,18.0,6.0,,,,,,,,,,3,,,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,2005,0,1,2018,0,0,,1,1,1,12,,,2025-05-13 09:18:52,1,458707,99950,50.79615,-1.168372,2017-02-24 09:37:22
