Site ID,Facility Type,Facility Subtype,Facility ID,Dimensions Estimate,Length,Width,Area,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Social Areas,Disability: Reception Area,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1002388,10,10001,2008712,0,31.0,16.0,496.0,5,,GLL,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,,1970,0,1,2010,1,1,2015,2,1,1,12,2023-07-25,302,2025-05-14 10:13:02,1,531005,186140,51.55894,-0.111574,
1003192,10,10001,2008714,0,60.0,30.0,1800.0,3,,Freedom Leisure,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,IFI accredited.,1993,0,1,2024,1,0,,2,1,1,12,,,2025-07-04 16:07:43,1,500389,150988,51.24923,-0.5629895,
30008365,10,10001,2008715,0,56.0,26.0,1456.0,3,,Chelmsford City Council,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,1,2,,1987,0,1,2019,1,1,2019,2,1,1,12,,,2025-11-25 16:22:09,1,571133,207016,51.73573,0.4769779,
1003823,10,10001,2008716,0,30.0,25.0,750.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1995,0,1,2015,0,0,,2,1,1,12,,,2025-03-27 11:27:17,1,506754,206555,51.74755,-0.4550241,
1004477,10,10001,2008717,0,48.0,14.0,672.0,5,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1991,0,0,,1,1,2005,2,1,1,12,2023-01-01,201,2023-01-16 08:49:34,1,247222,54339,50.36905,-4.149676,
1004742,10,10001,2008718,0,29.4,26.2,770.0,3,,Doncaster Culture And Leisure Trust,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,,1999,0,0,,0,0,,2,1,1,12,,,2024-12-10 09:53:37,1,459813,402465,53.51549,-1.099438,
1004742,10,10001,2008719,0,22.4,20.0,448.0,3,,Doncaster Culture And Leisure Trust,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,,1999,0,0,,0,0,,2,1,1,12,,,2024-12-10 09:53:37,1,459813,402465,53.51549,-1.099438,
1004848,10,10001,2008720,0,60.0,30.0,1800.0,5,,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1987,0,1,2003,1,0,,2,1,1,12,2020-07-14,201,2020-08-04 19:37:40,1,484513,169110,51.41472,-0.7861114,
1005155,10,10001,2008722,1,56.0,26.0,1456.0,3,,Tees Active Ltd,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,,1966,0,1,2011,1,1,2011,2,1,1,12,,,2025-08-01 16:31:18,1,446062,523770,54.60702,-1.288426,
1005440,10,10001,2008723,0,56.0,26.0,1456.0,3,,Greenwich Leisure Limited,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,Parking: 10 designated bays,1985,0,1,2023,1,0,,2,1,1,12,,,2025-01-07 12:06:26,1,411805,184441,51.55873,-1.8311,
30007920,10,10001,2008724,0,36.5,18.0,657.0,3,,,,,Sports Club / Community Association,Public Access,Community Organisation,Others,0,0,1,1,1,0,1,0,1,0,,1974,0,1,2025,1,1,2025,2,1,1,12,,,2025-10-06 14:47:11,1,524973,409647,53.56858,-0.1143378,
1011632,10,10001,2008725,0,44.0,15.0,660.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,0,,1989,0,1,2007,1,1,2007,2,1,1,12,,,2025-09-15 11:17:53,1,459275,102090,50.81532,-1.15997,
1011633,10,10001,2008726,0,60.0,30.0,1800.0,3,,,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,0,,1988,0,1,2021,1,0,,2,1,1,12,,,2025-03-05 14:13:36,1,509371,428064,53.73753,-0.3433485,
1011634,10,10001,2008727,0,60.0,30.0,1800.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,"Attitude is everything Gold Award
Lifts on site
Changing Places Facility on level 3",2000,0,0,,1,0,,2,1,1,12,,,2025-04-09 08:13:05,1,457900,339800,52.95248,-1.139649,
1011634,10,10001,2008728,0,60.0,30.0,1800.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,"Attitude is everything Gold Award
Lifts on site
Changing Places Facility on level 3",2000,0,0,,1,0,,2,1,1,12,,,2025-04-09 08:13:05,1,457900,339800,52.95248,-1.139649,
1011635,10,10001,2008729,0,56.0,26.0,1456.0,3,Please be aware opening times change on a regular basis. There are sports club that use the facility so there not always open. ,MORE Leisure Community Trust,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,0,1,1,1,0,,1984,0,1,2010,1,1,2003,2,1,1,12,,,2025-03-25 10:01:39,1,450822,205792,51.74854,-1.265213,
1011636,10,10001,2008730,0,54.0,26.0,1404.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,2,,1992,0,1,2007,1,0,,3,1,1,12,2012-10-31,999,2013-05-08 00:00:00,1,358327,172978,51.45424,-2.601136,
1011637,10,10001,2008731,0,56.0,26.0,1456.0,3,"Please note these times are the opening hours of the centre.
Have different opening times for term time and holidays, due to sports clubs and private hire.  ",,2012-10-01,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,0,,1984,0,1,2003,1,1,2005,2,1,1,12,,,2025-03-17 16:58:27,1,369950,308524,52.6736,-2.445848,
