Site ID,Facility Subtype,Facility ID,Rinks,Dimensions Estimate,Length,Width,Area,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1004830,3002,2008795,3,0,34.2,12.6,431.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1974,0,1,2007,1,1,2007,2,1,1,12,2011-05-01,999,2021-10-27 11:35:12,1,359899,167976,51.40938,-2.57795,
1004863,3002,2008796,6,0,35.3,27.9,985.0,5,,Greenwich Leisure Limited,,,Registered Membership use,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,"Parking: Designated Spaces, Changing Facilities: 2 Designated Toilets, Emergency Exits: Ramps",1988,0,1,2008,1,1,2016,2,1,1,12,2023-03-31,103,2023-07-18 16:38:42,1,470618,174545,51.46548,-0.9847922,
1004892,3002,2008797,4,0,40.0,19.2,768.0,5,,Freedom Leisure,,,Pay and Play,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,1,1,0,,1980,0,0,,1,1,2014,2,1,1,12,2020-01-01,101,2024-02-05 15:23:45,1,545498,309746,52.66592,0.1501191,
1004914,3002,2008798,4,0,35.1,19.2,674.0,3,,,,,Registered Membership use,Public Access,Community Organisation,Others,1,1,1,1,1,1,1,1,1,1,0,Parking: 2 Bays,1994,0,0,,1,1,1994,2,1,1,12,,,2025-08-05 08:40:32,1,559434,272789,52.33004,0.3383408,
1004974,3002,2008799,6,0,36.0,27.0,972.0,3,,Places Leisure,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Modern site with good access throughout.  Specific changing with hoists and changing tables/couches,1976,0,0,,1,0,,2,1,1,12,,,2025-11-24 08:53:23,1,440726,355680,53.09679,-1.393253,
1005003,3002,2008800,4,0,35.3,18.7,660.0,5,,,,,Pay and Play,Public Access,Not Known,Not Known,0,0,0,0,0,0,0,0,0,0,2,,1975,0,1,2008,1,0,,3,1,1,12,2015-07-10,999,2015-07-14 00:00:00,1,411137,551350,54.85683,-1.828049,
1005018,3002,2008801,4,0,42.0,21.3,895.0,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,1,1,0,,1999,0,0,,1,0,,2,1,1,12,,,2024-11-27 11:43:34,1,429572,532353,54.68538,-1.542835,
1005030,3002,2008803,4,0,35.1,18.1,635.0,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,0,1,1,1,1,1,1,1,1,0,,1978,0,1,2009,1,1,2014,2,1,1,12,,,2025-06-03 10:54:04,1,426687,524214,54.6124,-1.588322,
1005031,3002,2008804,3,0,35.1,14.4,505.0,5,,,,,Sports Club / Community Association,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,1,1,1,2,,1981,0,1,2002,1,1,2000,2,1,1,12,2016-11-01,102,2023-07-06 14:07:24,1,427754,551245,54.85524,-1.569236,
1005038,3002,2008805,3,0,35.4,13.8,489.0,3,,,,,Pay and Play,Public Access,Local Authority (in house),Local Authority,1,1,1,1,1,1,1,0,1,1,0,,1982,0,1,2013,1,1,2014,2,1,1,12,,,2025-09-19 10:03:56,1,423538,526596,54.63396,-1.636887,
