Site ID,Facility Type,Facility Subtype,Facility ID,Courts,Surface Type,Overmarked,Overmarked Sports: Basketball,Overmarked Sports: Football,Overmarked Sports: Hockey,Overmarked Sports: Netball,Overmarked Sports: Other Sport,Operational Status Notes,Operational Status,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1000065,4,4004,2021624,6,1,2,2,2,2,2,2,,3,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1995,1,2009,1,1,2005,2,1,1,12,,,2025-07-17 09:55:10,1,509123,427915,53.73623,-0.3471652,
1000068,4,4004,2021626,8,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1998,0,,1,1,2009,2,1,1,12,,,2024-11-04 15:13:35,1,457663,336817,52.9257,-1.143705,
1000078,4,4004,2021628,12,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Lift.,1990,1,2019,1,1,2019,2,1,1,12,,,2025-09-09 09:45:49,1,487639,166328,51.38924,-0.7418575,
1000094,4,4004,2021631,6,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Lift,1996,0,,1,1,2007,2,1,1,12,,,2025-10-22 08:30:49,1,434833,277049,52.39038,-1.489565,
1000105,4,4004,2021632,5,1,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,1990,0,,1,1,2004,2,1,1,12,,,2025-07-21 10:31:19,1,465830,154256,51.28365,-1.057461,
1000109,4,4001,2021633,2,4,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,0,0,0,0,0,0,0,0,0,0,0,,1986,1,2005,1,0,,2,1,1,12,,,2025-02-25 15:58:51,1,377215,162460,51.36074,-2.328633,
1000115,4,4004,2021634,5,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1997,1,2010,1,1,2011,2,1,1,12,,,2024-11-06 12:17:37,1,429693,438696,53.84368,-1.550204,
1000116,4,4004,2021635,3,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1994,1,2008,1,1,2015,2,1,1,12,,,2024-12-11 11:36:56,1,415279,104191,50.83704,-1.784375,
1000134,4,4001,2021636,3,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,,1991,0,,1,1,2001,2,1,1,12,,,2025-12-10 16:21:43,1,584904,226809,51.90913,0.6867469,
1000134,4,4004,2021637,3,5,2,2,2,2,2,2,,3,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,1,1,0,Lift,1991,1,2008,1,1,2001,2,1,1,12,,,2025-12-10 16:21:43,1,584904,226809,51.90913,0.6867469,
