Site ID,Facility Type,Facility Subtype,Facility ID,Freestyle Features,Moguls,Tow,Slope Type,Surface Type,Artificial Sports Lighting,Skiable Length,Skiable Width,Operational Status,Operational Status Notes,Operator Name,Date Opened,Expected Opening Date,Accessibility Type (Text),Accessibility Type Group (Text),Management Type (Text),Management Type Group (Text),Disability: Activity Area,Disability: Changing Facilities,Disability: Doorways,Disability: Emergency Exits,Disability: Finding and reaching the entrance,Disability: Parking,Disability: Reception Area,Disability: Social Areas,Disability: Spectator Areas,Disability: Toilets,Changing Place Toilets,Disability Notes,Year Built,Year Built Estimated?,Is Refurbished?,Year Refurbished,Has changing rooms?,Are changing rooms refurbished?,Year changing rooms refurbished,Timing Type,Seasonality Type,Start Month,End Month,Closed Date,Closure Reason,Last Updated Date,Meets Active Places Criteria,Easting,Northing,Latitude,Longitude,Created Date
1011605,11,11001,2009190,2,0,1,2,20,1,90.0,30.0,3,This is the main teaching and recreational slope built in 1973 and reconstructed in 2004.  In 2014 we replaced the surface of the slope whilst widening it to incorporate some waves / rollers.  We also replaced the drag lift with a new one.,North Staffs Ski Club Ltd,,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,1,1,0,1,1,1,0,1,0,The slope is situated in a public park and is at the bottom of a steep path.  By prior arrangement persons can be allowed access through the park.,1973,0,1,2014,0,0,,2,2,9,6,,,2026-01-08 17:47:56,1,383701,353334,53.077,-2.244735,
1011605,11,11001,4149674,1,0,1,10,20,1,95.0,20.0,3,"This is a dedicated freestyle slope created in 2014 next to the original slope.  It has permanently set out jumps, rails and boxes.",North Staffs Ski Club Ltd,2014-09-14,,Sports Club / Community Association,Public Access,Sport Club,Others,0,0,1,1,0,1,1,1,0,1,0,The slope is situated in a public park and is at the bottom of a steep path.  By prior arrangement persons can be allowed access through the park.,2014,0,0,,0,0,,2,2,9,6,,,2026-01-08 17:47:56,1,383701,353334,53.077,-2.244735,
1011586,11,11002,2009134,3,0,1,2,22,0,600.0,200.0,3,Open only when there is sufficient snow cover.,,,,Registered Membership use,Public Access,Sport Club,Others,1,1,1,1,1,1,1,0,0,1,0,,1976,0,0,,1,1,2005,1,2,11,4,,,2026-01-02 15:31:13,1,377397,537752,54.73425,-2.352545,
1011586,11,11002,2009135,3,0,1,2,22,0,600.0,60.0,3,Open only when there is sufficient snow cover.,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,0,0,1,0,,1976,0,0,,1,1,2005,1,2,11,4,,,2026-01-02 15:31:13,1,377397,537752,54.73425,-2.352545,
1011586,11,11002,2009136,3,0,1,3,22,0,600.0,60.0,3,Open only when there is sufficient snow cover.,,,,Registered Membership use,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,0,0,1,0,,1976,0,0,,1,1,2005,1,2,11,4,,,2026-01-02 15:31:13,1,377397,537752,54.73425,-2.352545,
1011584,11,11001,2009129,3,0,1,1,21,1,32.0,11.0,3,,,,,Sports Club / Community Association,Public Access,Trust,Trust,1,1,1,1,1,1,1,1,0,1,2,"Changing Facilities: Residential provision for 4 wheelchair users, Activity Areas: Adapted ski, canoe & abseil equipment",1968,0,1,2003,1,0,,2,1,1,12,,,2025-01-14 12:46:40,1,554373,133079,51.07627,0.2023135,
1011584,11,11001,2009130,3,0,1,2,21,1,80.0,12.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,"Changing Facilities: Residential provision for 4 wheelchair users, Activity Areas: Adapted ski, canoe & abseil equipment",1979,0,1,1999,1,0,,2,1,1,12,,,2025-01-14 12:46:40,1,554373,133079,51.07627,0.2023135,
1011585,11,11003,2009131,3,0,1,1,22,,40.0,37.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,2003,0,0,,1,0,,2,1,1,12,,,2025-09-08 15:14:00,1,443596,423933,53.71003,-1.340993,
1011585,11,11003,2009132,2,1,1,3,22,,170.0,40.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,1,1,1,1,1,1,1,1,0,1,0,,2003,0,0,,1,0,,2,1,1,12,,,2025-09-08 15:14:00,1,443596,423933,53.71003,-1.340993,
1011587,11,11001,2009137,1,0,1,3,21,1,30.0,15.0,3,Ramp.,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,0,1,0,1,1,2,,1971,0,1,2011,1,1,2011,2,1,1,12,,,2025-07-04 11:39:36,1,339833,556769,54.90201,-2.939795,
1011587,11,11001,2009138,3,1,1,2,21,1,50.0,20.0,3,Includes mogul section.,,,,Sports Club / Community Association,Public Access,Sport Club,Others,1,1,1,1,1,0,1,0,1,1,2,,1971,0,1,2011,1,1,2011,2,1,1,12,,,2025-07-04 11:39:36,1,339833,556769,54.90201,-2.939795,
1011588,11,11001,2009140,3,0,1,1,21,1,20.0,22.0,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,0,0,1,0,0,0,0,0,0,0,,1984,0,1,2009,0,0,,2,1,1,12,,,2025-09-02 13:33:36,1,499113,151754,51.25634,-0.5810544,
1011588,11,11001,2009141,3,0,1,2,21,1,50.0,12.0,3,,,,,Pay and Play,Public Access,Sport Club,Others,1,0,0,1,0,0,0,0,0,0,0,,1984,0,1,2009,0,0,,2,1,1,12,,,2025-09-02 13:33:36,1,499113,151754,51.25634,-0.5810544,
1011588,11,11001,2009142,3,0,1,2,21,1,40.0,12.0,3,Dedicated donuting slope.,,,,Pay and Play,Public Access,Sport Club,Others,1,0,0,1,0,0,0,0,0,0,0,,1984,0,1,2009,0,0,,2,1,1,12,,,2025-09-02 13:33:36,1,499113,151754,51.25634,-0.5810544,
1011589,11,11001,2009143,2,0,1,2,21,1,110.0,28.0,3,New Ramps and New Mats. no changing rooms on site. area set aside for fitting of boots and skis. Sprinkler system installed to allow for wet skiing all year round,,,,Pay and Play,Public Access,Sport Club,Others,0,0,0,0,0,0,0,0,0,0,0,,1963,0,1,2024,0,0,,2,1,1,12,,,2025-12-04 10:52:08,1,290062,67068,50.49306,-3.55128,
1011595,11,11001,2009165,3,0,1,1,21,1,40.0,15.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,0,0,1,0,,1984,0,1,2000,1,1,2013,2,1,1,12,,,2025-01-14 14:21:38,1,354820,381109,53.32498,-2.67977,
1011595,11,11001,2009166,3,0,1,2,21,1,90.0,25.0,3,,,,,Sports Club / Community Association,Public Access,Commercial Management,Commercial,1,1,1,1,1,0,1,0,0,1,0,,1984,0,1,2002,1,1,2013,2,1,1,12,,,2025-01-14 14:21:38,1,354820,381109,53.32498,-2.67977,
1011596,11,11001,2009167,3,0,1,1,21,1,32.0,35.0,3,,,,,Pay and Play,Public Access,Commercial Management,Commercial,0,0,1,1,1,0,1,0,0,1,0,,1986,0,1,2009,0,0,,2,1,1,12,,,2025-01-14 14:27:42,1,578329,164956,51.35569,0.5597885,
