Site_ID,Lat,Lon,Total_Facilities,Diversity_Index,Facility_Types_List,Subtype_Diversity
1000001,54.0004,-1.555463,8,5,"2, 4, 4, 7, 12, 12, 12, 17",6
1000002,51.49095,0.2917934,7,5,"2, 4, 7, 12, 12, 12, 13",6
1000003,52.78297,-1.652516,7,4,"2, 7, 9, 9, 9, 12, 12",6
1000004,50.85914,-0.08962537,10,6,"2, 4, 4, 4, 6, 7, 7, 7, 12, 13",9
1000005,51.52005,-0.08199059,6,3,"2, 7, 12, 12, 12, 12",3
1000006,51.34658,-0.4616022,8,4,"2, 7, 7, 7, 12, 12, 12, 13",7
1000007,51.51396,-0.1241726,4,3,"2, 7, 12, 12",4
1000008,51.50995,-0.09136442,9,4,"2, 7, 7, 12, 12, 12, 12, 13, 13",6
1000009,53.26373,-2.891404,14,7,"2, 4, 4, 6, 7, 7, 7, 12, 12, 12, 12, 13, 17, 17",10
1000010,50.42324,-4.214078,9,7,"2, 6, 7, 9, 9, 12, 12, 13, 17",9
1000012,51.30567,-0.5586035,8,6,"2, 4, 6, 7, 12, 12, 12, 17",7
1000014,52.21484,-2.219158,5,4,"2, 7, 12, 12, 13",4
1000015,51.55902,0.4589405,7,5,"2, 7, 12, 12, 13, 13, 17",6
1000016,51.65968,-0.06135222,10,7,"2, 3, 4, 6, 7, 7, 12, 12, 12, 17",9
1000017,51.40574,-0.2224867,12,5,"2, 4, 4, 4, 7, 7, 12, 12, 12, 12, 17, 17",7
1000018,51.58628,0.4627227,11,7,"2, 4, 4, 6, 7, 7, 12, 12, 12, 13, 17",10
1000019,52.55358,-1.897004,9,7,"2, 4, 6, 7, 7, 12, 12, 13, 17",8
1000020,51.4377,-2.630979,12,7,"2, 4, 4, 6, 7, 7, 12, 12, 12, 13, 17, 17",9
1000021,51.66322,-0.3652291,12,7,"2, 4, 4, 6, 7, 7, 12, 12, 12, 13, 17, 17",8
1000023,51.62934,0.06313322,14,7,"2, 3, 4, 4, 4, 6, 7, 7, 8, 12, 12, 12, 12, 12",10
1000024,51.60687,-0.1730804,9,6,"2, 4, 4, 6, 7, 7, 12, 12, 17",8
1000025,51.4935,-0.4003802,11,7,"2, 4, 4, 6, 7, 7, 12, 12, 12, 13, 17",9
1000026,52.61248,-1.188551,5,3,"2, 7, 7, 12, 12",4
1000027,51.27003,0.5195205,4,3,"2, 7, 12, 12",3
1000028,52.05302,-0.7323686,14,7,"2, 4, 4, 4, 6, 7, 7, 7, 12, 12, 12, 12, 13, 17",12
1000029,51.42242,0.1161054,12,7,"2, 4, 4, 6, 7, 7, 12, 12, 12, 12, 13, 17",8
1000030,50.79401,0.2767281,10,7,"2, 4, 6, 7, 7, 12, 12, 13, 13, 17",9
1000031,53.81261,-3.010673,11,6,"2, 7, 7, 9, 9, 12, 12, 12, 13, 13, 17",9
1000032,50.7457,-1.990149,11,6,"2, 4, 4, 7, 7, 12, 12, 12, 12, 13, 17",8
1000033,50.83366,-0.1917384,7,5,"2, 7, 12, 12, 13, 13, 17",7
1000034,51.55582,-0.3437389,10,5,"2, 7, 7, 7, 12, 12, 12, 13, 17, 17",8
1000035,52.45893,-1.91284,12,6,"2, 4, 4, 7, 7, 12, 13, 13, 17, 17, 17, 17",8
1000036,51.47547,-0.2563225,12,5,"2, 4, 4, 7, 7, 7, 12, 12, 12, 17, 17, 17",8
1000037,51.51719,-2.533391,5,3,"2, 7, 12, 12, 12",3
1000038,51.38245,0.4812969,5,3,"2, 7, 7, 12, 12",4
1000039,51.35727,-0.1221169,12,7,"2, 4, 6, 7, 7, 7, 12, 12, 12, 12, 13, 17",9
1000040,51.37319,-0.5533957,14,6,"2, 7, 7, 7, 9, 9, 9, 9, 12, 12, 13, 17, 17, 17",10
1000041,51.50858,-0.3350774,3,3,"2, 7, 12",3
1000042,50.92584,-1.324002,10,5,"2, 4, 4, 7, 7, 12, 12, 12, 17, 17",7
1000043,51.46949,-0.184647,11,5,"2, 4, 4, 6, 7, 7, 7, 12, 12, 12, 12",8
1000044,51.37711,-0.09736913,5,3,"2, 2, 7, 12, 12",3
1000045,51.49171,-0.2491932,7,5,"2, 7, 12, 12, 12, 13, 17",5
1000046,51.52027,-0.09713112,6,3,"2, 7, 12, 12, 12, 12",4
1000047,51.48632,-0.1809925,4,3,"2, 7, 12, 12",3
